Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,MA_Fast,MA_Slow,Signal,Crossover
2025-04-24 00:00:00+05:30,1307.1466235305738,1324.1160987248627,1301.5229301536358,1306.5546875,477734,0.0,0.0,1293.1747871910607,1297.7014964103673,-1,0.0
2025-04-25 00:00:00+05:30,1307.1465248825778,1311.1915612932546,1249.035753647299,1262.4534912109375,484979,0.0,0.0,1287.5890970128564,1294.3445435342312,-1,0.0
2025-04-28 00:00:00+05:30,1265.6107604139102,1318.8871701901526,1263.8348319141985,1315.82861328125,645668,0.0,0.0,1292.7235545162007,1296.3906454148996,-1,0.0
2025-04-29 00:00:00+05:30,1319.577688382621,1337.336490917864,1305.9625582651,1309.1197509765625,463479,0.0,0.0,1295.7046811453572,1297.602941182677,-1,0.0
2025-04-30 00:00:00+05:30,1306.258659751193,1355.588669560528,1289.4864564160189,1328.0625,764409,0.0,0.0,1301.5879209371103,1300.5038515462315,1,2.0
2025-05-02 00:00:00+05:30,1328.2598743431904,1368.6117254740327,1328.2598743431904,1337.3365478515625,501132,0.0,0.0,1308.0876712851925,1304.0117273848346,1,0.0
2025-05-05 00:00:00+05:30,1343.8480605607824,1395.447297360325,1343.7494246312076,1385.679931640625,578912,0.0,0.0,1322.1953549861803,1311.7896515996717,1,0.0
2025-05-06 00:00:00+05:30,1391.1062713854658,1402.7482018304725,1351.6422636865873,1358.4498291015625,669889,0.0,0.0,1328.7870775526135,1316.2334780284234,1,0.0
2025-05-07 00:00:00+05:30,1321.0575940001563,1404.3266703153138,1300.0429627402843,1391.007568359375,891615,0.0,0.0,1340.0998940629336,1323.3548199647043,1,0.0
2025-05-08 00:00:00+05:30,1414.7846542932964,1416.165918628479,1341.7762411707693,1350.5570068359375,648635,0.0,0.0,1342.0011872943887,1325.9455044286315,1,0.0
2025-05-09 00:00:00+05:30,1310.2049713302752,1352.2341127393445,1310.2049713302752,1344.24267578125,563437,0.0,0.0,1342.4087306556362,1327.6880921765,1,0.0
2025-05-12 00:00:00+05:30,1358.6470535451951,1393.769995084378,1358.6470535451951,1390.31689453125,307268,0.0,0.0,1351.1193059057478,1333.6527400198095,1,0.0
2025-05-13 00:00:00+05:30,1395.3486468471904,1400.9722195546656,1366.441214143107,1373.248779296875,341539,0.0,0.0,1355.1428465223164,1337.42379137953,1,0.0
2025-05-14 00:00:00+05:30,1366.441162109375,1391.5008291692725,1358.3510893234277,1366.441162109375,332395,0.0,0.0,1357.1970857199633,1340.1873504966582,1,0.0
2025-05-15 00:00:00+05:30,1368.4144752515376,1369.4010754499886,1344.7360704887135,1353.812744140625,350552,0.0,0.0,1356.5817508873563,1341.4850070341788,1,0.0
2025-05-16 00:00:00+05:30,1360.1269628828616,1383.0161589632146,1350.260961236483,1372.7554931640625,507540,0.0,0.0,1359.5224313013027,1344.463148570358,1,0.0
2025-05-19 00:00:00+05:30,1372.755490479212,1414.981905182372,1369.795689991087,1385.778564453125,503079,0.0,0.0,1364.296273692543,1348.3979500830026,1,0.0
2025-05-20 00:00:00+05:30,1395.052672650558,1395.6446086793324,1343.749462623805,1354.1087646484375,487621,0.0,0.0,1362.4439993208875,1348.9418371844724,1,0.0
2025-05-21 00:00:00+05:30,1357.2658160203791,1374.531319126724,1345.919913979067,1363.4814453125,266016,0.0,0.0,1362.632625864817,1350.3265617680943,1,0.0
2025-05-22 00:00:00+05:30,1352.7274085623062,1359.5349735180728,1324.0173689849446,1335.7579345703125,287038,0.0,0.0,1357.7463183567252,1348.9390734635438,1,0.0
2025-05-23 00:00:00+05:30,1340.690955696593,1345.8212282559762,1327.0758255769094,1330.726318359375,190195,0.0,0.0,1352.8335910844796,1347.204525358385,1,0.0
2025-05-26 00:00:00+05:30,1334.5740471485683,1343.5522053484174,1318.4925360916975,1323.425537109375,196235,0.0,0.0,1347.486672179915,1344.93985981086,1,0.0
2025-05-27 00:00:00+05:30,1323.0308178610474,1323.6227538716064,1300.33901412443,1316.716552734375,400854,0.0,0.0,1341.8921050079987,1342.251925803576,-1,-2.0
2025-05-28 00:00:00+05:30,1321.353610373862,1350.9516144550992,1313.7567170655925,1339.605712890625,379742,0.0,0.0,1341.4763973502943,1341.9999055261521,-1,0.0
2025-05-29 00:00:00+05:30,1350.9516512351022,1380.1549919700738,1337.6325490359295,1364.1719970703125,678301,0.0,0.0,1345.602870026661,1344.1115332922627,1,2.0
2025-05-30 00:00:00+05:30,1366.342607642724,1368.9077440130552,1302.5095040034862,1307.4425048828125,892987,0.0,0.0,1338.6646218186886,1340.619244872315,-1,-2.0
2025-06-02 00:00:00+05:30,1315.0393273125349,1357.9564326395018,1297.872461094831,1301.3255615234375,901573,0.0,0.0,1331.8757017650066,1336.8769893152792,-1,0.0
2025-06-03 00:00:00+05:30,1313.164791393671,1314.25002746493,1292.5448243013984,1295.9979248046875,338054,0.0,0.0,1325.352469590403,1332.9837450761752,-1,0.0
2025-06-04 00:00:00+05:30,1300.437610640801,1301.3255748470226,1273.306106995393,1283.5667724609375,562966,0.0,0.0,1317.7550701123182,1328.2773667318668,-1,0.0
2025-06-05 00:00:00+05:30,1286.625282440691,1314.3487236658082,1277.8445166713127,1289.5850830078125,1268728,0.0,0.0,1312.6332542751352,1324.592387329576,-1,0.0
2025-06-06 00:00:00+05:30,1293.5314660881015,1322.0442352486664,1293.5314660881015,1311.7835693359375,885724,0.0,0.0,1312.478766104372,1323.3724999016104,-1,0.0
2025-06-09 00:00:00+05:30,1341.776260458029,1402.9454723318506,1323.5241569150337,1397.3218994140625,3006665,0.0,0.0,1327.9047903424976,1330.4152998551774,-1,0.0
2025-06-10 00:00:00+05:30,1406.8917666038126,1407.8783667206455,1365.059897563178,1375.123291015625,743639,0.0,0.0,1336.4899722830662,1334.6732037752201,1,2.0
2025-06-11 00:00:00+05:30,1381.2401859103595,1406.8917893629807,1374.531256833532,1391.5994873046875,687745,0.0,0.0,1346.509884105179,1340.0947545875504,1,0.0
2025-06-12 00:00:00+05:30,1395.9405685499044,1400.972205199973,1348.7810334686335,1352.135498046875,551909,0.0,0.0,1347.5327230036692,1341.2414920598671,1,0.0
2025-06-13 00:00:00+05:30,1323.030786232684,1334.0806596142602,1289.585017437871,1326.48388671875,975052,0.0,0.0,1343.7056618609565,1339.8360058369035,1,0.0
2025-06-16 00:00:00+05:30,1330.8250312502162,1373.1502038339145,1330.1343388508176,1371.0782470703125,1040870,0.0,0.0,1348.6824955353848,1342.8114573829425,1,0.0
2025-06-17 00:00:00+05:30,1387.061240496507,1419.5204110517916,1381.437547115091,1414.2913818359375,1281223,0.0,0.0,1360.611383953667,1349.6190692356085,1,0.0
2025-06-18 00:00:00+05:30,1421.5922233091655,1424.6506597799464,1397.223126604806,1406.4971923828125,1005068,0.0,0.0,1368.9542582135116,1355.0360333448662,1,0.0
2025-06-19 00:00:00+05:30,1410.8382067797766,1410.8382067797766,1368.5130364894658,1373.7420654296875,475210,0.0,0.0,1369.8247686164525,1356.817560210087,1,0.0
2025-06-20 00:00:00+05:30,1373.7421208221242,1395.4473248785553,1369.20378406088,1376.1099853515625,219306,0.0,0.0,1370.9675352955635,1358.6549340330848,1,0.0
2025-06-23 00:00:00+05:30,1369.4010492952434,1385.77858818981,1347.79448127492,1380.6483154296875,404529,0.0,0.0,1372.7276771381316,1360.7495417851421,1,0.0
2025-06-24 00:00:00+05:30,1399.985658207798,1417.5471896206052,1389.6263562971694,1393.47412109375,349920,0.0,0.0,1376.4997578573348,1363.866168385962,1,0.0
2025-06-25 00:00:00+05:30,1410.8381910927772,1438.462994834454,1408.9636267519604,1426.1304931640625,1692141,0.0,0.0,1385.5235279131034,1369.7961040791145,1,0.0
2025-06-26 00:00:00+05:30,1428.005134675234,1434.319399958619,1406.2999305623814,1427.7091064453125,502032,0.0,0.0,1393.1936331007778,1375.3116281139905,1,0.0
2025-06-27 00:00:00+05:30,1427.7090140332875,1504.565187708736,1420.408149035521,1491.5421142578125,1986072,0.0,0.0,1411.0751751293294,1386.3811982229258,1,0.0
2025-06-30 00:00:00+05:30,1490.3581860060387,1494.699250821415,1453.1634079383125,1463.3253173828125,834268,0.0,0.0,1420.5752009935989,1393.7092095714863,1,0.0
2025-07-01 00:00:00+05:30,1465.101266708743,1477.927069043567,1455.2352649127245,1471.2181396484375,513598,0.0,0.0,1429.7830080217511,1401.0910124359577,1,0.0
2025-07-02 00:00:00+05:30,1474.177918518881,1500.6188511174023,1461.9441728193108,1489.27294921875,510945,0.0,0.0,1440.5993609666598,1409.489292129557,1,0.0
2025-07-03 00:00:00+05:30,1494.6992921702742,1500.1255932309584,1483.057361720787,1487.7930908203125,192560,0.0,0.0,1449.1800391218692,1416.946796766772,1,0.0
2025-07-04 00:00:00+05:30,1487.7929873044186,1565.6357611912815,1484.8331869317972,1521.7320556640625,2837357,0.0,0.0,1462.3713148568136,1426.9263452331804,1,0.0
2025-07-07 00:00:00+05:30,1529.2303057858655,1533.670006673631,1494.896570746642,1522.028076171875,630177,0.0,0.0,1473.2179987322793,1435.9836529416275,1,0.0
2025-07-08 00:00:00+05:30,1535.149899580946,1535.149899580946,1487.1025183784393,1492.1341552734375,448093,0.0,0.0,1476.6572999215807,1441.3313198303713,1,0.0
2025-07-09 00:00:00+05:30,1492.1340825989996,1495.3897908150318,1465.1012145533202,1468.7515869140625,349489,0.0,0.0,1475.2198975565775,1443.942773838342,1,0.0
2025-07-10 00:00:00+05:30,1472.9940752823504,1475.559211674825,1439.6469408764012,1462.3387451171875,385984,0.0,0.0,1472.8778698403248,1445.6947711029939,1,0.0
2025-07-11 00:00:00+05:30,1456.2218824717966,1477.6310584508303,1452.2754817062903,1466.28515625,274774,0.0,0.0,1471.679194642084,1447.6557601646136,1,0.0
2025-07-14 00:00:00+05:30,1465.0025701945335,1465.0025701945335,1440.5348385784005,1456.1231689453125,306932,0.0,0.0,1468.85082633358,1448.4621800484897,1,0.0
2025-07-15 00:00:00+05:30,1446.355838857582,1461.6481413830204,1443.8893384502533,1454.840576171875,141317,0.0,0.0,1466.3035081223607,1449.0696463459549,1,0.0
2025-07-16 00:00:00+05:30,1463.1280444012698,1468.9490094605194,1445.5665132939591,1459.0830078125,253208,0.0,0.0,1464.9906898842041,1450.023299818959,1,0.0
2025-07-17 00:00:00+05:30,1461.1548404308278,1505.453211806972,1461.1548404308278,1502.394775390625,1039184,0.0,0.0,1471.7914327035533,1455.0110593972129,1,0.0
2025-07-18 00:00:00+05:30,1503.578603122034,1515.02314058119,1484.9318365160836,1490.9500732421875,383134,0.0,0.0,1475.2748218923957,1458.4338226205437,1,0.0
2025-07-21 00:00:00+05:30,1490.950165899207,1499.0403597556483,1479.9989278261132,1492.0355224609375,182187,0.0,0.0,1478.322221995767,1461.633984510105,1,0.0
2025-07-22 00:00:00+05:30,1497.659088993961,1541.0694973705974,1450.4009157879311,1466.3839111328125,2311432,0.0,0.0,1476.1516200206843,1462.0863584741724,1,0.0
2025-07-23 00:00:00+05:30,1472.0074423883516,1484.1426725604294,1448.3290384893432,1463.522705078125,659280,0.0,0.0,1473.8554536674915,1462.2231533888344,1,0.0
2025-07-24 00:00:00+05:30,1460.365454576401,1463.5226472322345,1392.586074268313,1409.3582763671875,1343610,0.0,0.0,1462.1286941583453,1457.1884031962966,1,0.0
2025-07-25 00:00:00+05:30,1412.2194559141271,1416.6591565171889,1356.96984840936,1361.3109130859375,518787,0.0,0.0,1443.7981885088163,1448.0572136619767,-1,-2.0
2025-07-28 00:00:00+05:30,1352.5302310531897,1398.9990761384288,1342.86150097092,1358.3511962890625,378864,0.0,0.0,1428.2623717415881,1439.5137834359848,-1,0.0
2025-07-29 00:00:00+05:30,1362.001469088248,1399.886937878525,1361.6068049523376,1370.4862060546875,605336,0.0,0.0,1417.7576143439696,1432.9397284472898,-1,0.0
2025-07-30 00:00:00+05:30,1375.8139537496647,1408.7664239142016,1363.481451475107,1393.47412109375,422122,0.0,0.0,1413.3424337530205,1429.1810991755242,-1,0.0
2025-07-31 00:00:00+05:30,1372.4594155904742,1387.0611456759077,1332.9954104239905,1339.901611328125,624843,0.0,0.0,1399.9895569484938,1420.6782908091052,-1,0.0
2025-08-01 00:00:00+05:30,1346.2159671963652,1354.5034329281718,1317.1112614196757,1319.4791259765625,181739,0.0,0.0,1385.3512967717788,1411.0402751107677,-1,0.0
